fold,auc,best_iteration,best_score_reported_by_catboost,seconds
1,0.9622296784405713,3000,0.9622296784405713,546.4323086738586
2,0.9627471047895573,2999,0.9627471047895573,533.5860080718994
3,0.9629472261180125,3000,0.9629472261180125,608.9424958229065
4,0.9638366670432246,3000,0.9638366670432246,654.7413456439972
5,0.9628403104479017,2996,0.9628403104479019,732.1190221309662
