feature,mean_importance_pct,importance_pct_std
weekend_screen_time,22.39776878539628,0.42012692316454947
daily_screen_time_hours,20.613616879795778,0.6243726703677289
notifications_per_day,12.708448352859396,0.3315115954633583
app_opens_per_day,11.238413977229804,0.20744082838115505
social_media_hours,10.701139395758801,0.2079930454823746
social_share_of_daily,5.361124965175009,0.14895958796143763
work_study_share_of_daily,3.255221573215644,0.07372219976465216
gaming_share_of_daily,2.5539669970996948,0.06664643598793582
time_accounting_residual,1.9198978236027753,0.05307576415194634
work_study_hours,1.7770945070378694,0.1098838785691289
sleep_hours,1.255197688242542,0.10434116780658034
age,1.0350660933905502,0.04902434400789741
gaming_hours,1.0162224477224109,0.0286230748355607
sleep_minus_screen,0.6788909972641763,0.1408525077780639
weekend_lift,0.6737275637665248,0.13761354509448986
weekend_ratio,0.5553079816016849,0.12629026191146284
screen_component_total,0.5160157653625033,0.08437298549908584
opens_per_screen_hour,0.3926496853610384,0.07309759308526935
notifications_per_screen_hour,0.3283931562483004,0.04031135697418669
notifications_per_open,0.25939171510288783,0.032449422514071555
screen_to_sleep_ratio,0.22550044717928192,0.04060182721511879
engagement_events,0.19852564485149546,0.03128464272773633
missing_count,0.12056037765947718,0.02179174373983598
spam_intensity,0.10888105214222572,0.04155233923491209
gender,0.031430653593278284,0.011905943977851344
academic_work_impact,0.02954186408516506,0.004784323733965891
stress_level,0.028448639380570333,0.005757079686170278
is_sleep_deprived,0.019554969874838908,0.009755526066727775
